X_ 1,X_ 2,X_ 3,X_ 4,X_ 5,X_ 6,X_ 7,X_ 8,X_ 9,X_10,X_11,X_12,X_13,X_14,X_15,X_16,X_17,X_18,X_19,X_20,X_21,X_22,X_23,X_24,X_25,X_26,X_27,X_28,X_29,X_30,X_31,X_32,X_33,X_34,X_35,X_36,X_37,X_38,X_39,X_40,X_41,X_42,X_43,X_44,X_45,X_46,Y_ 1,Y_ 2,Y_ 3,Y_ 4,Y_ 5,Y_ 6,Y_ 7,Y_ 8,Y_ 9,Y_10,Y_11,Y_12,Y_13,Y_14,Y_15,Y_16,Y_17,Y_18,Y_19,Y_20,Y_21,Y_22,Y_23,Y_24,Y_25,Y_26,Y_27,Y_28,Y_29,Y_30,Y_31,Y_32,Y_33,Y_34,Y_35,Y_36,Y_37,Y_38,Y_39,Y_40,Y_41,Y_42,Y_43,Y_44,Y_45,Y_46,IDEN
-90.61454,-90.59123,-90.613694,-90.610502,-90.581055,-90.301801,-90.15375,-90.148069,-90.314071,-90.313531,-90.580587,-90.603569,-90.61454,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.14229,39.198624,39.395775,39.457447,39.521728,39.520192,39.520315,39.261947,39.225053,39.17428,39.184895,39.117592,39.14229,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88
-88.59596,-88.252098,-88.244155,-88.241433,-88.251995,-88.58624,-88.59596,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.457034,41.463096,41.201546,41.12895,41.114229,41.108293,41.457034,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89
-91.4969574903395,-91.492891,-91.469656,-91.419422,-91.372921,-91.379907,-91.367876,-91.394475,-91.374252,-91.339719,-91.247851,-91.18698,-91.1854606087043,-91.022222,-90.904216,-90.909756,-90.911969,-91.5061679086223,-91.4969574903395,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,40.2487038763728,40.269923,40.322409,40.378264,40.399108,40.45211,40.510479,40.534543,40.58259,40.613488,40.63839,40.637297,40.6381118126235,40.634956,40.639201,40.284394,40.193088,40.2006435127951,40.2487038763728,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,90
-91.12082,-91.1182229383975,-91.115735,-91.091703,-91.092993,-91.044653,-90.985462,-90.952233,-90.945324,-90.9518941426813,-90.785194,-90.789652,-90.904216,-91.022222,-91.1854606087043,-91.12082,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.672777,40.6995346508191,40.725168,40.779708,40.821079,40.868356,40.912141,40.954047,41.019279,41.0698727358664,41.068749,40.63575,40.639201,40.634956,40.6381118126235,40.672777,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91
-90.433771,-90.43193,-90.332657,-90.196535,-90.185609,-89.862351,-89.857798,-89.867895,-89.868384,-89.984559,-90.437657,-90.433771,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.326983,41.456834,41.514001,41.540126,41.584653,41.584005,41.234483,41.21623,41.148955,41.149366,41.151252,41.326983,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92
-88.131938,-87.5264633059912,-87.526014,-87.5261364904237,-87.526292,-87.5268757732538,-87.935309,-88.117905,-88.118191,-88.131938,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.997839,41.0103548179645,40.895582,40.7368850814229,40.535409,40.4912244096904,40.485923,40.488086,40.516982,40.997839,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93
-88.361745,-88.360654,-88.007766,-87.950385,-87.945923,-88.258608,-88.36176,-88.361745,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.910847,39.171118,39.173925,39.174882,38.850108,38.847521,38.851949,38.910847,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94
-89.147416,-89.144388,-88.698961,-88.702391,-88.704606,-89.129637,-89.149457,-89.147416,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.212896,38.473878,38.474914,38.256661,38.125195,38.124747,38.13083,38.212896,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95
-90.642843,-90.437011,-90.4263769607361,-90.22319,-89.927006876764,-89.91965,-90.3156965142715,-90.338169,-90.400653,-90.430884,-90.417125,-90.44632,-90.4843456727163,-90.517516,-90.565248,-90.590416,-90.646727,-90.642843,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.508481,42.507147,42.5071777352237,42.507765,42.5057904857746,42.196824,42.1939464322514,42.203321,42.239293,42.27823,42.319943,42.357041,42.3815977781919,42.403019,42.438742,42.447493,42.471904,42.508481,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,96
-88.60156,-88.58833,-88.588657,-88.393762,-88.354183,-88.257689,-88.238369,-88.238291,-88.263378,-88.263255,-88.262876,-88.26241,-88.262492,-88.26279,-88.26279,-88.261952,-88.37532,-88.4045,-88.601933,-88.60156,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,42.017925,42.066462,42.15359,42.1539,42.154224,42.154073,42.154253,42.092348,42.066626,42.015492,41.986227,41.899234,41.882886,41.812301,41.812132,41.724652,41.72261,41.72227,41.719563,42.017925,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,97
