X_ 1,X_ 2,X_ 3,X_ 4,X_ 5,X_ 6,X_ 7,X_ 8,X_ 9,X_10,X_11,X_12,X_13,X_14,X_15,X_16,X_17,X_18,X_19,X_20,X_21,X_22,X_23,X_24,X_25,X_26,X_27,X_28,X_29,X_30,X_31,X_32,X_33,X_34,X_35,X_36,X_37,X_38,X_39,X_40,X_41,X_42,X_43,X_44,X_45,X_46,X_47,X_48,X_49,X_50,X_51,X_52,X_53,X_54,X_55,X_56,X_57,X_58,Y_ 1,Y_ 2,Y_ 3,Y_ 4,Y_ 5,Y_ 6,Y_ 7,Y_ 8,Y_ 9,Y_10,Y_11,Y_12,Y_13,Y_14,Y_15,Y_16,Y_17,Y_18,Y_19,Y_20,Y_21,Y_22,Y_23,Y_24,Y_25,Y_26,Y_27,Y_28,Y_29,Y_30,Y_31,Y_32,Y_33,Y_34,Y_35,Y_36,Y_37,Y_38,Y_39,Y_40,Y_41,Y_42,Y_43,Y_44,Y_45,Y_46,Y_47,Y_48,Y_49,Y_50,Y_51,Y_52,Y_53,Y_54,Y_55,Y_56,Y_57,Y_58,IDEN
-87.072369,-86.947663,-86.924186,-86.885716,-86.837462,-86.682359,-86.681424,-86.679511,-86.792152,-86.791497,-87.01749,-87.073067,-87.072369,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.5147,38.490453,38.505358,38.494866,38.526468,38.526378,38.394767,38.263086,38.2491,38.20513,38.20358,38.232596,38.5147,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155
-86.0625630290106,-85.791363,-85.7913349619628,-85.6597502379909,-85.654747,-85.653507,-86.05923,-86.059451,-86.0625630290106,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.759653033158,41.759051,41.7590510395575,41.759236686047,41.523347,41.436856,41.435812,41.479154,41.759653033158,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156
-85.301584,-85.221118,-85.185089,-85.034575,-85.036087,-85.29811,-85.301584,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.787579,39.788449,39.715515,39.714764,39.526213,39.525476,39.787579,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157
-86.467046,-86.077551,-86.075939,-85.945561,-85.946436,-86.168459,-86.169012,-86.468509,-86.467046,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.171442,41.172868,41.084878,41.042876,40.999195,40.996097,40.909836,40.909889,41.171442,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159
-87.968968,-87.908542,-87.831972,-87.779996,-87.7511059451205,-87.599317,-87.494671,-87.462892,-87.462486,-87.407583,-87.316219,-87.316893,-87.31703,-87.466744,-87.467284,-87.688374,-87.799677,-87.799169,-87.9702008408039,-87.968968,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.237389,38.268581,38.307241,38.370842,38.4188492084548,38.450721,38.495692,38.533519,38.46561,38.375501,38.381474,38.246077,38.201753,38.201286,38.165403,38.168419,38.201944,38.22858,38.2302710583858,38.237389,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160
-86.242743,-85.861903,-85.862489,-85.937587,-86.239739,-86.242365,-86.242743,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.215834,40.218936,39.943618,39.927137,39.926055,40.180778,40.215834,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161
-85.953683,-85.938067,-85.937587,-85.862489,-85.576192,-85.596678,-85.596916,-85.633491,-85.633228,-85.951721,-85.953683,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.856117,39.869812,39.927137,39.943618,39.945756,39.872926,39.786519,39.786177,39.698462,39.697136,39.856117,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162
-85.596678,-85.576192,-85.576197,-85.214386,-85.213543,-85.201473,-85.200945,-85.221118,-85.301584,-85.596916,-85.596678,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.872926,39.945756,40.077143,40.076889,40.015603,40.004521,39.873799,39.788449,39.787579,39.786519,39.872926,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165
-85.219901,-85.206886,-85.206508,-85.200628,-85.201146,-85.068479,-84.8024138785794,-84.802547,-84.8029313665713,-84.804119,-84.8041205270149,-84.8049173025784,-85.218758,-85.219901,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.379034,40.386018,40.479373,40.495827,40.567242,40.56824,40.5722128806467,40.50181,40.4653866217198,40.352844,40.3527622302971,40.3100959150341,40.306706,40.379034,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169
-86.077551,-86.054116,-86.05923,-85.653507,-85.653227,-85.651928,-85.652715,-85.686574,-85.684181,-85.795814,-85.945561,-86.075939,-86.077551,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.172868,41.176368,41.435812,41.436856,41.351195,41.294776,41.178489,41.178376,41.046716,41.043588,41.042876,41.084878,41.172868,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173
-86.9328490284944,-86.90913,-86.824828,-86.6413229205208,-86.640044,-86.5242197424429,-86.526682,-86.487029,-86.524711,-86.642542,-86.739995,-86.814652,-86.870265,-86.930079,-86.9328490284944,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.7164969379022,41.726938,41.76024,41.7596749381428,41.759671,41.7595721559735,41.65044,41.642125,41.432886,41.432639,41.321708,41.273501,41.264553,41.236798,41.7164969379022,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174
-86.467108,-86.059451,-86.05923,-86.054116,-86.077551,-86.467046,-86.466603,-86.467108,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.476459,41.479154,41.435812,41.176368,41.172868,41.171442,41.432968,41.476459,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178
-87.2227999491184,-87.125835,-87.027888,-86.9328490284944,-86.930079,-86.968125,-87.131339,-87.218862,-87.2227999491184,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.62888983896,41.650302,41.674661,41.7164969379022,41.236798,41.219658,41.286245,41.242027,41.62888983896,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188
-85.218758,-84.8049173025784,-84.808706,-84.8101612384745,-85.201473,-85.213543,-85.214386,-85.218758,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.306706,40.3100959150341,40.107216,40.0050675438482,40.004521,40.015603,40.076889,40.306706,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191
-85.633491,-85.596916,-85.301584,-85.29811,-85.297575,-85.629327,-85.633228,-85.633491,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.786177,39.786519,39.787579,39.525476,39.453275,39.45275,39.698462,39.786177,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193
-85.95208,-85.951721,-85.633228,-85.629327,-85.63063,-85.684515,-85.952005,-85.95208,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.638345,39.697136,39.698462,39.45275,39.350205,39.350049,39.347373,39.638345,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195
