yield,tmax_apr,tmax_may,tmax_jun,tmax_jul,prcp_apr,prcp_may,prcp_jun,prcp_jul
6.664045823,19.64924049,25.45180321,28.7197113,29.83119965,165.2711029,87.70815277,210.7322235,78.98519135
7.375865408,17.99419785,25.01508141,26.89765358,28.06189537,140.3309784,55.11717224,209.8922577,116.1609497
7.181399842,18.36466599,24.86016083,27.32800102,28.32709694,121.4700012,92.97000122,260.3200073,45.08000183
5.713605394,16.64648628,23.89730644,25.83421326,27.1936245,77.63066101,94.11799622,301.4511108,109.6964493
7.94284249,17.84051704,24.34113693,26.77623558,27.74522018,90.40916443,138.1159973,238.4351501,171.3218536
6.338497769,20.58611107,25.65878105,29.67944527,30.74856567,183.2888947,93.83333588,215.8444519,164.6888885
6.78077581,17.34766197,24.49311256,26.38472366,27.46009445,126.9696884,132.6394043,236.1997986,109.6971664
6.086923836,17.05023766,23.80455589,26.20089722,27.48735619,87.19400787,136.410141,298.631897,144.1118469
5.630177436,16.55481529,23.66212845,25.57410812,26.93787193,80.56861115,102.9741669,269.5797119,145.1216583
7.4848351,17.24561691,20.75338936,26.69325066,28.14844704,89.80541229,182.4238434,182.6493683,165.4177704
7.20951337,17.49801254,20.74149704,27.04449081,28.57098007,88.60103607,192.3551941,171.9398651,229.5964661
8.665764839,16.04461288,20.68214417,25.29040527,27.01873589,96.20201874,126.1767731,186.1464691,50.77777863
8.078343937,16.99318314,20.31359863,26.43253326,27.63544273,114.6704559,160.5521545,199.6797333,138.1174774
8.141512522,17.22190857,21.37418556,26.07352829,27.59545135,71.27545929,119.3852615,244.2568054,101.4964981
8.724038756,16.79908943,20.99254227,26.07483292,27.45203209,82.79759216,125.1858215,174.8211975,97.06320953
8.816698911,17.19018173,20.9041729,26.30160332,27.66478348,111.832077,139.1159973,224.8271637,131.9431763
9.392529631,16.25169182,20.50188828,25.81554794,27.18502617,95.74880219,139.3242645,135.9549713,95.00189972
9.478538698,16.67153358,20.89327621,25.82395935,27.21191788,72.44668579,123.4111938,181.0905914,70.43041229
8.63008185,16.68920326,20.31369591,26.34168053,27.7211647,96.89677429,121.8705673,95.97441864,119.6786652
8.80042487,16.35386276,20.52877808,25.9563694,27.43733215,109.4135895,114.1624603,141.3475037,113.3644409
8.478098976,16.89678383,20.37789345,26.25547409,27.52128983,116.5690308,142.1163635,157.2333679,108.3513641
9.00359902,16.95437813,20.22661781,26.3658638,27.52533913,118.3111191,152.3428345,191.5529327,160.0003204
8.320820993,17.35751343,20.73043442,26.90122032,28.33301926,97.69826508,150.1564941,157.6008148,137.5698547
8.441035685,17.82270813,22.21222305,26.50214195,27.84386253,63.79423141,160.4423981,227.7644958,83.17816162
8.888795515,15.77621651,19.95401382,25.66781807,27.32877922,115.4416809,125.372879,144.8972778,157.780426
8.920798415,17.0569973,20.63486862,26.74052048,28.03667641,83.92284393,118.7382202,95.70237732,186.1549835
9.241529674,15.82909107,20.14414406,25.52924919,26.99092674,94.90211487,121.4034729,143.6184998,85.47622681
8.783623513,16.74773598,20.56481171,26.48235512,28.21151352,82.6027832,94.03581238,66.11585999,85.93582916
9.929934281,16.16212845,20.78346825,25.27580643,26.96858597,91.30555725,115.0105591,186.6699982,57.2155571
8.885419063,17.70639038,22.15028,26.27793312,27.62333107,64.28983307,165.6217957,239.9315491,74.54871368
9.018293659,17.06160927,20.30156136,26.63319016,27.77498055,123.775444,157.9117889,132.0812378,181.2730865
8.107274401,17.50573349,21.26896477,26.6375618,28.13862801,96.76670837,149.0317535,262.0568237,186.7861176
10.31704187,16.49022293,20.75799751,25.4796505,26.95603943,72.1445694,133.1503448,193.5766449,63.01311111
7.528021808,18.73134232,22.81869507,27.02191544,28.37181473,63.38489914,135.8946533,179.1676331,208.4896851
8.346377918,16.33490753,20.15015793,26.12583351,28.15260887,72.35137939,98.18883514,67.92259979,77.9338913
10.67340373,16.50240898,20.73057938,25.24327278,26.81679535,66.08660126,141.9414063,202.2075806,45.30483627
9.03020716,16.18031693,20.10000038,26.00819969,27.70193291,76.05686951,130.5387726,84.63440704,68.88600922
8.844173731,16.18928528,20.45917702,25.59671402,26.9431572,92.0425415,132.927948,148.6737976,87.42510986
8.673098204,15.81927681,20.05735397,25.58705521,27.15690231,110.7502365,99.94901276,140.5840759,127.0961838
9.356105086,16.21424484,20.25635719,25.88846207,27.45979309,107.659996,121.7824249,163.1576233,125.2841949
7.521745962,18.20403099,21.34680748,28.25133133,29.70717239,100.0363617,185.7280884,191.1473694,140.3377686
8.391193211,17.21387863,20.79388809,26.4430542,27.7428875,116.1989899,145.8925323,216.2141418,120.299324
8.864750412,16.62693596,20.7519989,25.95943642,27.42054176,94.9319458,133.6382904,153.8551788,131.2572174
7.927748121,17.14874268,20.71985626,26.53178406,27.83595848,115.1085129,157.0401459,252.0500336,152.5590057
9.167192595,16.72421646,20.50370407,26.00049591,27.46273613,96.0711441,129.687851,125.8761063,119.1555405
9.392436168,15.89296341,20.00338173,25.78725433,27.38328171,130.7846069,141.8745117,144.4341125,109.2566833
9.487339658,16.64312172,20.61489296,25.99235725,27.45573425,104.2922058,134.0219269,134.0119629,143.9759674
8.298386544,17.74063492,21.10501862,27.60879707,28.97725487,110.4554825,164.4582214,132.3395233,139.4367371
7.695327852,18.68917274,22.63952637,27.00171852,28.42727852,72.05851746,136.0207367,176.1890717,213.2581635
8.926655094,15.34518147,19.74084473,25.27987862,26.8526516,106.7890396,119.6837692,175.8697205,109.6764679
8.588061032,16.60513687,20.31660843,26.12777519,27.60663033,108.0391388,151.1993103,147.1059265,84.27319336
8.930698664,16.77892303,20.22508049,26.53654099,27.66987991,110.4455414,141.4471436,102.8820496,219.93396
8.560688234,17.73327255,21.81218719,26.32049942,27.93955231,85.18151093,140.8819733,224.3157043,127.4428253
9.308019329,17.45364761,21.85062599,26.01023674,27.41932297,62.62123871,173.4624023,234.2011871,80.02197266
8.620712563,17.65745544,21.44464493,26.24317169,27.85048485,76.93963623,97.53688812,215.9608459,179.2053528
7.322785814,18.57796288,22.35806465,26.86518478,28.45806503,84.84444427,137.1555481,173.4333344,192.4444427
8.108204605,18.04811287,22.33164406,26.6797123,28.2004528,84.48813629,132.2976227,171.1782684,120.2383194
8.976483997,17.34459877,21.54769707,26.03832817,27.44668007,66.93144226,149.6419373,220.5962982,54.68610764
7.737378938,18.16849518,22.0898037,26.59932137,28.23718452,97.48291016,148.4420319,177.1364594,142.7071686
9.04073086,16.25386429,20.31450844,26.11098862,27.66883659,99.30531311,150.843277,122.8016052,93.35939789
6.405279133,19.08144379,22.6757431,27.0553894,28.56686401,46.73555756,143.6755524,217.7188873,219.0666656
