EVI1,EVI2,EVI3,EVI4,EVI5,EVI6,EVI7,EVI8,EVI9,EVI10,EVI11,EVI12,EVI13
0.182261888744729,0.217439931023094,0.266740977201069,0.298165152954954,0.540773108429556,0.681479602457308,0.67018318550494,0.672653761994238,0.674756152830952,0.459416513250833,0.378469955502399,0.250668378211295,0.224850683704572
0.178880523473333,0.206754199058745,0.235928530742223,0.438952605826131,0.634558502109131,0.678323525179061,0.677330504086737,0.710605263021392,0.573786719158326,0.31543994965488,0.235990233775826,0.195651769047367,0.173675145342048
0.178579157349323,0.214564958878828,0.220748519970943,0.338363735999603,0.54835390811412,0.638701778694662,0.677448925261049,0.724322463626891,0.627279283417741,0.334790227203191,0.261802594442418,0.199302376551611,0.1800629819347
0.328698523213764,0.329656385763176,0.292486995886478,0.315488407344843,0.364310913513526,0.430449198106517,0.524886827042843,0.595850684624319,0.604558139064088,0.488692349964461,0.412334544338746,0.301332637818871,0.219434759868208
0.175360185085677,0.227195205498866,0.27762070583568,0.323099012102407,0.439173078330753,0.617276271988012,0.673527142912787,0.680706205579234,0.640206875995555,0.561504346946245,0.48482977135572,0.297046702103839,0.248724677568297
0.179172284378318,0.203024436447595,0.240420294630565,0.345677420774914,0.523084460703458,0.606032190407033,0.604351906598134,0.634433197480302,0.651762853250151,0.443006452682951,0.309602083529168,0.215391717976612,0.189502327000889
0.155008514604099,0.180010648580435,0.188758351831325,0.267059565258589,0.499831036316605,0.582929706476784,0.686243246262723,0.689029012638137,0.648934559041055,0.528308478054323,0.333608701125458,0.211019867176225,0.173858468013389
0.180317970436411,0.215159558007343,0.254132432516923,0.434076723270095,0.565258902440106,0.677373220900884,0.712091605983952,0.718622940946194,0.654075028494827,0.440127135874737,0.345404936233374,0.227491213484596,0.209962167128626
0.297680812217356,0.342809034076164,0.337794710688642,0.368760874827786,0.349886542682343,0.481522932773117,0.477346104050042,0.580719515928824,0.587153627615737,0.484282940105032,0.417815239735563,0.334447726129696,0.235281597926753
0.237499255062817,0.277416382343853,0.27916435459584,0.37676660834998,0.361227909422768,0.541882661611435,0.575572793573316,0.612708026326545,0.569176628061159,0.460576797153051,0.339983593945143,0.271884426781897,0.217265692793552
0.166576433455145,0.195190861025411,0.235937410458174,0.287975824340914,0.494730901407535,0.630905481980782,0.681985757776954,0.685887240522179,0.643307655780972,0.439545535535333,0.365382991356447,0.228501963681133,0.2040652177824
0.171330618900674,0.216311597867012,0.265861417813699,0.318282098665989,0.438679115576259,0.630543647838977,0.679528480460072,0.678559155064762,0.652596499915048,0.538677806866894,0.456708994989076,0.274813590143806,0.234590570576217
0.160707416442176,0.178584334658607,0.194751907420181,0.316744151720147,0.491557077629843,0.595719405625855,0.703209431488286,0.721647818556853,0.712361825473118,0.572533590301005,0.351884912736609,0.202105954769202,0.177968281218553
0.171171863074209,0.225084985992259,0.258220956272485,0.296765099319879,0.314430626404245,0.328131276111337,0.457169855282209,0.50041696530028,0.563701419260271,0.50942873092571,0.353444591351692,0.263654284264949,0.210281607972874
0.179941116736658,0.218737154640905,0.24515415053646,0.298431155313053,0.338474784095379,0.349667174112458,0.488656715800085,0.537687210241138,0.577447154902525,0.530470813990078,0.383659876037215,0.249394976423839,0.209380264539135
0.150333487710332,0.173133801059351,0.179971139349732,0.249137845781249,0.391524155757383,0.517558829221955,0.676856398175974,0.67507352779243,0.625788466226029,0.487070161768403,0.306651460275186,0.205474363063636,0.172836068533162
